CAMDR,USDI - FISH & WILDLIFE SERVICE (Modoc)
CASWR,USDI - FISH & WILDLIFE SERVICE (Sacramento)
CATLR,USDI - FISH & WILDLIFE SERVICE (Tule Lake)
HIHIR,USDI - FISH & WILDLIFE SERVICE (Hawaiian Islands)
HIHLR,USDI - FISH & WILDLIFE SERVICE (Huleia)
HIHNR,USDI - FISH & WILDLIFE SERVICE (Hanalei)
HIJCR,USDI - FISH & WILDLIFE SERVICE (James C. Campbell)
HIKKR,USDI - FISH & WILDLIFE SERVICE (Kakahaia)
HIPHR,USDI - FISH & WILDLIFE SERVICE (Pearl Harbor)
NVSAR,USDI - FISH & WILDLIFE SERVICE (Sheldon Antelope  NV)
CACBR,USDI - FISH & WILDLIFE SERVICE (Cibola)
CAKRR,USDI - FISH & WILDLIFE SERVICE (Kern)
CALUR,USDI - FISH & WILDLIFE SERVICE (San Luis)
CASSR,USDI - FISH & WILDLIFE SERVICE (Salton Sea)
CATNR,USDI - FISH & WILDLIFE SERVICE (Tijuana Slough)
CABNP,USDI - NATIONAL PARK SERVICE (Lava Beds NM)
CAGNP,USDI - NATIONAL PARK SERVICE (Golden Gate NRA)
CAJMP,USDI - NATIONAL PARK SERVICE (John Muir NHS)
CALNP,USDI - NATIONAL PARK SERVICE (Lassen Volcanic NP)
CAPRP,USDI - NATIONAL PARK SERVICE (Presidio of San Francisco)
CARNP,USDI - NATIONAL PARK SERVICE (Point Reyes National Seashore)
CARWP,USDI - NATIONAL PARK SERVICE (Redwood NP)
CAWNP,USDI - NATIONAL PARK SERVICE (Whiskeytown NRA)
GUAMP,USDI - NATIONAL PARK SERVICE (American Memorial Park)
GUWPP,USDI - NATIONAL PARK SERVICE (War in Pacific NHP)
HIHKP,USDI - NATIONAL PARK SERVICE (Haleakala NP)
HIHVP,USDI - NATIONAL PARK SERVICE (Hawaii Volcaes NP)
HIKAP,USDI - NATIONAL PARK SERVICE (Kalaupapa NHP)
HIKHP,USDI - NATIONAL PARK SERVICE (Kaloko-Hokohau NHP)
HIPHP,USDI - NATIONAL PARK SERVICE (Puukohola Heiau NHS)
HIPUP,USDI - NATIONAL PARK SERVICE (Puuohonua O Honaunau NHP)
HIUSP,USDI - NATIONAL PARK SERVICE (U.S.S. Arizona Memorial)
CACAP,USDI - NATIONAL PARK SERVICE (Cabillio NM)
CACNP,USDI - NATIONAL PARK SERVICE (Channel Islands NP)
CADPP,USDI - NATIONAL PARK SERVICE (Devils Postpile NM)
CADVP,USDI - NATIONAL PARK SERVICE (Death Valley NP)
CAJTP,USDI - NATIONAL PARK SERVICE (Joshua Tree NM)
CAKNP,USDI - NATIONAL PARK SERVICE (Sequoia & Kings Canyon NP)
CAMNP,USDI - NATIONAL PARK SERVICE (Mojave NP)
CAPIP,USDI - NATIONAL PARK SERVICE (Pinnacles NM)
CASMP,USDI - NATIONAL PARK SERVICE (Santa Moni Mountains NRA)
CAYNP,USDI - NATIONAL PARK SERVICE (Yosemite NP)
NVFNA,DOD ?DEPT DEFENSE (Fallon Naval Air Station)
NVNTE,DOD ?DEPT DEFENSE (Nevada Test Site)
IDBOF,USDA - FOREST SERVICE (Boise National Forest)
IDCTF,USDA - FOREST SERVICE (Caribou-Targhee National Forest)
IDPAF,USDA - FOREST SERVICE (Payette National Forest)
IDSCF,USDA - FOREST SERVICE (Salmon-Challis National Forest)
IDSTF,USDA - FOREST SERVICE (Sawtooth National Forest)
UTASF,USDA - FOREST SERVICE (Ashley National Forest)
UTDIF,USDA - FOREST SERVICE (Dixie National Forest)
UTFIF,USDA - FOREST SERVICE (Fishlake National Forest)
UTMLF,USDA - FOREST SERVICE (Manti-Lasal National Forest)
UTUIF,USDA - FOREST SERVICE (Uinta National Forest)
UTWCF,USDA - FOREST SERVICE (Wasatch-Cache National Forest)
WYBTF,USDA - FOREST SERVICE (Bridger-Teton National Forest)
NVHTF,USDA - FOREST SERVICE (Humboldt-Toiyabe National Forest)
IDBLR,USDI - FISH & WILDLIFE SERVICE (Bear Lake)
IDCSR,USDI - FISH & WILDLIFE SERVICE (Camas)
IDDFR,USDI - FISH & WILDLIFE SERVICE (Deer Flat)
IDGLR,USDI - FISH & WILDLIFE SERVICE (Grays Lake)
IDHFR,USDI - FISH & WILDLIFE SERVICE (Hagerman National Fish Hatchery)
IDMNR,USDI - FISH & WILDLIFE SERVICE (Minidoka)
UTBBR,USDI - FISH & WILDLIFE SERVICE (Bear River Migratory Bird Refuge)
UTFSR,USDI - FISH & WILDLIFE SERVICE (Fish Springs)
UTOWR,USDI - FISH & WILDLIFE SERVICE (Ouray)
WYNER,USDI - FISH & WILDLIFE SERVICE (National Elk Refuge)
NVAIR,USDI - FISH & WILDLIFE SERVICE (Anaho Island)
NVAMR,USDI - FISH & WILDLIFE SERVICE (Ash Meadows)
